Botanical,Lower,Family,Country,State,District,Collection,Date,latitude,longitude
Rhus mysorensis,,Anacardiaceae,,Karnataka,Bellary,KFP 4235,13.11.1978,18.052936,78.261853
Rhus parviflora,,Anacardiaceae,,Himachal Pradesh,Sirmaur,,,18.296975,83.896781
Semecarpus anacardium,,Anacardiaceae,,Maharashtra,Ratnagiri,BBJ-2,10.02.2000,25.806656,73.331043
Semecarpus anacardium,,Anacardiaceae,,Karnataka,Mysore,KFP 7567,15.05.1979,14.793707,74.686882
Solenocarpus indica,,Anacardiaceae,,Karnataka,Uttara Kannada,KFP 13056,23.06.1981,14.793707,74.686882
Spondias acuminata,,Anacardiaceae,,Karnataka,Kodagu,KFP 3148,10.10.1978,14.793707,74.686882
Annona reticulata,,Annonaceae,,Andhra Pradesh,Hyderabad,RG-2001,11.09.2001,14.793707,74.686882
Annona squamosa,,Annonaceae,,Karnataka,Chitradurga,KFP 7276,21.04.1979,27.481111,94.557285
Artabotrys zeylanicus,,Annonaceae,,Karnataka,Chikmagalur,KFP 5410,15.12.1978,17.389138,77.836728
Desmos lawii,,Annonaceae,,Karnataka,Shimoga,KFP 7399,23.04.1979,20.123133,85.103843
Goniothalamus cardiopetalus,,Annonaceae,,Karnataka,Uttara Kannada,KFP 3033,28.09.1978,17.389138,77.836728
Goniothalamus sesquipedalis,,Annonaceae,,Assam,Kamrup,SMBRH-149,27.03.2003,12.5,92.75
Miliusa tomentosa,,Annonaceae,,Maharashtra,Akola,,18.01.1965,31.104815,77.173403
Miliusa velutina,,Annonaceae,,Karnataka,Ramanagar,KFP 8142,17.06.1979,31.104815,77.173403
Miliusa wightiana,,Annonaceae,,Karnataka,Dakshina Kannada,KFP 7609,04.05.1979,26.65285,92.792559
